#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase ()
122,326565.3,0.0030,62.82,-117.40
123,338041.5,0.0030,61.83,-117.55
124,349921.0,0.0030,61.52,-120.57
125,362218.0,0.0030,60.89,-122.59
126,374947.1,0.0030,60.00,-126.62
127,388123.6,0.0030,60.60,-127.17
128,401763.1,0.0030,59.74,-136.20
129,415881.9,0.0030,58.67,-140.92
130,430496.9,0.0030,57.47,-133.15
131,445625.5,0.0030,54.60,-138.91
132,461285.7,0.0030,57.06,-147.04
133,477496.3,0.0030,56.33,-146.72
134,494276.5,0.0030,56.07,-145.59
135,511646.5,0.0030,55.48,-149.79
136,529626.9,0.0030,54.89,-162.34
137,548239.1,0.0030,53.44,-151.17
138,567505.4,0.0030,51.97,-151.66
139,587448.8,0.0030,52.92,-161.88
140,608093.0,0.0030,51.65,-147.60
141,629462.7,0.0030,51.86,-162.37
142,651583.4,0.0030,51.08,-163.00
143,674481.4,0.0030,49.07,188.37
144,698184.2,0.0030,48.17,-154.99
145,722719.9,0.0030,49.94,-158.61
146,748117.8,0.0030,47.64,179.94
147,774408.3,0.0030,47.09,-166.43
148,801622.7,0.0030,45.83,-167.60
149,829793.5,0.0030,47.26,174.25
150,858954.2,0.0030,45.33,181.82
151,889139.7,0.0030,42.33,184.53
152,920386.0,0.0030,42.46,187.17
153,952730.4,0.0030,42.53,170.89
154,986211.4,0.0030,42.16,174.03
155,1020869.0,0.0030,40.92,172.46
156,1056744.5,0.0030,39.98,186.96
157,1093880.8,0.0030,40.55,175.12
158,1132322.2,0.0030,39.26,163.26
159,1172114.4,0.0030,37.69,189.53
160,1213305.0,0.0030,37.49,180.08
161,1255943.2,0.0030,37.73,169.48
162,1300079.8,0.0030,37.49,165.43
163,1345767.4,0.0030,36.64,-168.13
164,1393060.6,0.0030,33.16,166.87
165,1442015.8,0.0030,34.12,153.16
166,1492691.3,0.0030,33.24,161.09
167,1545147.7,0.0030,33.19,178.45
168,1599447.6,0.0030,31.51,162.11
169,1655655.6,0.0030,29.60,176.80
170,1713838.9,0.0030,30.13,163.63
171,1774066.9,0.0030,28.45,160.52
172,1836411.5,0.0030,28.46,154.45
173,1900947.0,0.0030,27.53,157.95
174,1967750.4,0.0030,24.84,172.99
175,2036901.4,0.0030,26.99,159.54
176,2108482.5,0.0030,27.23,156.75
177,2182579.2,0.0030,25.84,161.56
178,2259279.7,0.0030,24.94,144.07
179,2338675.7,0.0030,19.96,163.07
180,2420861.8,0.0030,22.16,162.97
181,2505936.2,0.0030,22.31,161.17
182,2594000.2,0.0030,21.74,171.95
183,2685159.0,0.0030,22.38,169.00
184,2779521.3,0.0030,21.59,166.63
185,2877199.7,0.0030,19.52,155.53
186,2978310.7,0.0030,20.98,-129.97
187,3082975.0,0.0030,21.01,161.54
188,3191317.4,0.0030,19.33,-189.48
189,3303467.2,0.0030,21.30,-89.14
190,3419558.2,0.0030,16.68,142.97
191,3539728.9,0.0030,10.14,-149.06
192,3664122.7,0.0030,-32.32,-160.83
193,3792887.9,0.0030,18.56,-114.55
194,3926178.2,0.0030,19.68,-109.18
195,4064152.6,0.0030,20.12,-112.15
196,4206975.7,0.0030,17.32,123.45
197,4354817.9,0.0030,5.10,72.45
198,4507855.7,0.0030,13.94,160.63
199,4666271.5,0.0030,10.55,-150.32
200,4830254.4,0.0030,9.40,-180.21
201,5000000.0,0.0030,13.60,95.08
