time	V(v0)	V(v3)
2.753521786999817e-05	-1.313894e-07	4.813306e-03
2.758723399199873e-05	-1.277538e-07	6.293372e-03
2.765038766762303e-05	-1.224285e-07	8.058780e-03
2.771354134324733e-05	-1.164353e-07	9.778715e-03
2.777669501887163e-05	-1.097743e-07	1.145318e-02
2.783984869449593e-05	-1.024454e-07	1.308216e-02
2.790300237012023e-05	-9.444865e-08	1.466568e-02
2.796615604574453e-05	-8.578407e-08	1.620372e-02
2.802930972136883e-05	-7.645163e-08	1.769629e-02
2.812696597136883e-05	-6.255128e-08	1.985082e-02
2.822462222136883e-05	-4.881428e-08	2.183062e-02
2.832227847136883e-05	-3.573393e-08	2.362034e-02
2.841993472136883e-05	-2.377694e-08	2.520717e-02
2.851759097136883e-05	-1.337157e-08	2.658084e-02
2.861524722136883e-05	-4.896638e-09	2.773380e-02
2.871290347136883e-05	1.328234e-09	2.866118e-02
2.881055972136883e-05	5.050835e-09	2.936082e-02
2.890821597136883e-05	6.092959e-09	2.985254e-02
2.904955208239964e-05	2.670324e-09	3.013422e-02
2.914065514558734e-05	-2.628158e-09	3.006765e-02
2.923831139558734e-05	-1.090262e-08	2.980284e-02
2.933596764558734e-05	-2.168909e-08	2.934321e-02
2.943362389558734e-05	-3.473594e-08	2.869678e-02
2.953128014558734e-05	-4.972141e-08	2.787640e-02
2.962893639558734e-05	-6.626122e-08	2.689597e-02
2.972659264558734e-05	-8.391777e-08	2.577006e-02
2.982424889558734e-05	-1.022108e-07	2.451371e-02
2.992190514558734e-05	-1.206290e-07	2.314206e-02
3.001956139558734e-05	-1.386426e-07	2.167015e-02
3.011721764558734e-05	-1.557163e-07	2.011263e-02
3.021487389558734e-05	-1.713225e-07	1.848358e-02
3.031253014558734e-05	-1.849549e-07	1.679628e-02
3.041018639558733e-05	-1.961405e-07	1.506305e-02
3.050784264558733e-05	-2.044523e-07	1.329516e-02
3.070315514558734e-05	-2.110405e-07	9.694720e-03
